year,women_age,men_age,family_type,area,girls_job,boys_job,marry_condition,women_status,mohor
2013.0,19.0,30.0,rich class,chuadanga ,day Labour,businessman,Forced Marriage,Single,387000.0
2014.0,22.0,40.0,rich class,Jashore ,businessman,businessman,Irrelevant Marriage,Single,391500.0
2013.0,16.0,25.0,rich class,Jhenaidah ,day Labour,Service holder,Forced Marriage,Single,364500.0
2014.0,22.0,34.0,higher class,Khulna ,businessman,businessman,arrange Marriage,Single,214200.0
2017.0,18.0,29.0,rich class,bagerhat ,businessman,Service holder,Forced Marriage,Single,423000.0
2014.0,21.0,31.0,higher Middle class,Jhenaidah ,Lower Service holder,Farmer,arrange Marriage,Single,210000.0
2014.0,22.0,30.0,rich class,chuadanga ,businessman,Service holder,Forced Marriage,Single,423000.0
2013.0,21.0,39.0,higher class,Jhenaidah ,businessman,Farmer,Irrelevant Marriage,Single,239400.0
2017.0,18.0,32.0,rich class,chuadanga ,businessman,businessman,Irrelevant Marriage,Single,423000.0
2017.0,17.0,27.0,higher Middle class,Satkhira ,businessman,Service holder,Forced Marriage,Single,218400.0
2016.0,21.0,41.0,rich class,Magura ,businessman,businessman,Irrelevant Marriage,Single,400500.0
2016.0,25.0,41.0,rich class,Kushtia ,businessman,businessman,Irrelevant Marriage,Widow,423000.0
2013.0,20.0,38.0,Lower Middle class,chuadanga ,Lower Service holder,Service holder,Irrelevant Marriage,Single,151700.0
2013.0,22.0,42.0,higher class,Magura ,businessman,Service holder,Irrelevant Marriage,Single,218400.0
2013.0,24.0,30.0,higher class,Narail ,businessman,Service holder,arrange Marriage,Single,214200.0
2016.0,20.0,42.0,rich class,Kushtia ,businessman,businessman,Irrelevant Marriage,Single,369000.0
2013.0,19.0,29.0,higher Middle class,Jhenaidah ,businessman,Service holder,Forced Marriage,Single,256200.0
2017.0,17.0,32.0,higher class,Jhenaidah ,businessman,Farmer,Irrelevant Marriage,Single,247800.0
2015.0,25.0,34.0,Lower Middle class,bagerhat ,businessman,Farmer,Forced Marriage,divorced,136900.0
2015.0,22.0,30.0,rich class,chuadanga ,businessman,Service holder,Forced Marriage,Single,418500.0
2017.0,20.0,38.0,higher class,Jashore ,businessman,Farmer,Irrelevant Marriage,Single,285600.0
2014.0,23.0,38.0,rich class,Satkhira ,businessman,Service holder,Irrelevant Marriage,Single,423000.0
2015.0,24.0,39.0,rich class,Jashore ,businessman,businessman,Irrelevant Marriage,Single,427500.0
2015.0,21.0,40.0,higher Middle class,Kushtia ,Lower Service holder,Service holder,Irrelevant Marriage,Single,235200.0
2015.0,25.0,38.0,rich class,chuadanga ,businessman,Service holder,Irrelevant Marriage,divorced,436500.0
2013.0,23.0,32.0,rich class,Jashore ,businessman,businessman,Forced Marriage,Single,445500.0
2014.0,22.0,25.0,rich class,Kushtia ,businessman,Service holder,Love Marriage,Single,405000.0
2014.0,18.0,39.0,Lower Middle class,Satkhira ,Lower Service holder,Farmer,Irrelevant Marriage,Single,129500.0
2017.0,16.0,28.0,higher Middle class,Kushtia ,Lower Worker,Farmer,Forced Marriage,Single,218400.0
2015.0,20.0,34.0,Lower Middle class,Magura ,day Labour,driver,Irrelevant Marriage,Single,133200.0
2016.0,18.0,34.0,higher Middle class,Narail ,Garments Worker,businessman,Irrelevant Marriage,Single,285600.0
2013.0,24.0,31.0,higher class,Jhenaidah ,businessman,Service holder,arrange Marriage,Single,222600.0
2015.0,19.0,31.0,higher Middle class,Jhenaidah ,businessman,Farmer,arrange Marriage,Single,210000.0
2013.0,19.0,33.0,higher class,Khulna ,day Labour,Farmer,Irrelevant Marriage,Single,247800.0
2013.0,18.0,26.0,higher Middle class,Satkhira ,day Labour,businessman,arrange Marriage,Single,247800.0
2014.0,19.0,27.0,rich class,Jashore ,businessman,businessman,arrange Marriage,Single,360000.0
2016.0,16.0,32.0,higher class,chuadanga ,businessman,businessman,Irrelevant Marriage,Single,226800.0
2016.0,16.0,25.0,rich class,Jashore ,businessman,Service holder,arrange Marriage,Single,418500.0
2015.0,18.0,30.0,Lower Middle class,Narail ,Lower Worker,Farmer,Forced Marriage,Single,155400.0
2016.0,23.0,38.0,rich class,Meherpur ,businessman,businessman,Irrelevant Marriage,Single,373500.0
2016.0,20.0,36.0,higher class,Kushtia ,Lower Service holder,businessman,Irrelevant Marriage,Single,247800.0
2017.0,16.0,32.0,rich class,Kushtia ,businessman,businessman,Irrelevant Marriage,Single,436500.0
2014.0,18.0,35.0,higher class,Satkhira ,businessman,Service holder,Irrelevant Marriage,Single,231000.0
2014.0,22.0,26.0,higher Middle class,Satkhira ,Lower Service holder,Service holder,arrange Marriage,Single,235200.0
2017.0,23.0,31.0,rich class,Kushtia ,businessman,businessman,arrange Marriage,Single,445500.0
2014.0,20.0,33.0,rich class,Jhenaidah ,businessman,Service holder,Irrelevant Marriage,Single,387000.0
2014.0,20.0,32.0,higher class,Khulna ,Lower Service holder,businessman,arrange Marriage,Single,268800.0
2013.0,23.0,26.0,higher class,Magura ,Garments Worker,Service holder,Love Marriage,Single,289800.0
